motion_id,meeting_date,meeting_date_display,meeting_type,decision_stage,title,summary,mover,result,yes_count,no_count,conflict_count,absent_count,primary_topic_id,topic_ids,financial_status,financial_amount_cad,financial_direction,financial_timing,funding_source,source_id,source_url,review_status,significance,notes
2025-11-police-seven-percent,2025-11-17,"Nov. 17–18, 2025",General Committee,Committee recommendation,Police budget: reduce requested increase to 7%,Council considered limiting the Police Service budget increase to 7%.,Keith Riel,Lost,4,7,0,0,public_safety_police,public_safety_police|finance_budget,not_stated,,reduce_budget_request,2026_budget,,minutes-2025-budget-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=41238,verified_official_minutes,split_vote|budget_amendment,The motion states the target percentage but not the exact dollar reduction; no dollar amount is inferred.
2025-11-police-return-board,2025-11-17,"Nov. 17–18, 2025",General Committee,Committee recommendation,Police budget returned for potential reductions,Council directed the Police Services Board to consider potential reductions to its 2026 budget.,Alex Bierk,Carried,6,5,0,0,public_safety_police,public_safety_police|finance_budget,not_stated,,potential_reduction,2026_budget,,minutes-2025-budget-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=41238,verified_official_minutes,split_vote|budget_amendment,Direction to reconsider; the motion itself did not set a dollar reduction.
2025-11-legacy-three-million,2025-11-17,"Nov. 17–18, 2025",General Committee,Committee recommendation,Use $3M of Legacy income reserve to reduce the levy,Council directed staff to use an additional $3 million from the Legacy reserve to reduce the 2026 net tax levy.,Dave Haacke,Carried,11,0,0,0,finance_budget,finance_budget|finance_tax|finance_debt,known,3000000,reduces_net_tax_levy,one_time,Legacy Fund Income Retention reserve,minutes-2025-budget-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=41238,verified_official_minutes,financial_impact|budget_amendment|reserve_use,"This is the additional one-time 2026 levy offset, distinct from the regular use of Legacy investment income for capital."
2025-11-library-operating-32k,2025-11-17,"Nov. 17–18, 2025",General Committee,Committee recommendation,Restore $32K of Library collections through the tax levy,"A motion to restore $32,000 of Library collections funding in the 2026 operating budget from the net tax levy was defeated.",Matt Crowley,Lost,1,10,0,0,recreation,recreation|finance_budget|finance_tax,known,32000,increases_net_tax_levy,2026_then_further_2027,Net tax levy,minutes-2025-budget-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=41238,verified_official_minutes,split_vote|budget_amendment|financial_impact,
2025-11-library-capital-32k,2025-11-17,"Nov. 17–18, 2025",General Committee,Committee recommendation,Restore $32K of Library collections from reserve,"Council unanimously supported restoring $32,000 of Library collections funding from the Library Materials Acquisition Reserve.",Matt Crowley,Carried,11,0,0,0,recreation,recreation|finance_budget|finance_debt,known,32000,reserve_funded_capital,one_time_2026,Library Materials Acquisition Reserve,minutes-2025-budget-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=41238,verified_official_minutes,budget_amendment|financial_impact|reserve_use,
2025-11-contingency-cap-one-million,2025-11-17,"Nov. 17–18, 2025",General Committee,Committee recommendation,Cap contingency budget at $1M,Council considered capping the contingency budget at $1 million.,Alex Bierk,Lost,4,7,0,0,finance_budget,finance_budget,not_stated,,potential_reduction,2026_budget,,minutes-2025-budget-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=41238,verified_official_minutes,split_vote|budget_amendment,"The cap is explicit, but the source excerpt does not establish the exact delta from the draft amount; no savings amount is inferred."
2025-06-trinity-overnight-269280,2025-06-23,"June 23, 2025",General Committee,Committee recommendation,"Trinity overnight expansion: $269,280",Funding to enhance the Trinity Overnight Drop-In Program failed on a 5–5 tie.,Keith Riel,Lost,5,5,0,1,homelessness,homelessness|finance_budget|social,known,269280,adds_program_funding,2026_operating_precommitment,2026 operating budget,minutes-2025-homelessness-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=40278,verified_official_minutes,financial_impact|split_vote,Committee-stage vote. Subsequent Council consideration can be shown separately where the final disposition differs.
2025-06-housing-stability-250000,2025-06-23,"June 23, 2025",General Committee,Committee recommendation,"Housing Stability Fund: +$250,000","Council supported a $250,000 increase to the Housing Stability Fund.",Keith Riel,Carried,10,0,0,1,homelessness,homelessness|finance_budget|social,known,250000,adds_program_funding,2026_operating_precommitment,2026 operating budget,minutes-2025-homelessness-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=40278,verified_official_minutes,financial_impact,Committee-stage vote. Subsequent Council consideration can be shown separately where the final disposition differs.
2025-06-brock-285600,2025-06-23,"June 23, 2025",General Committee,Committee recommendation,"Brock Mission 24/7 capacity: $285,600","Council supported $285,600 to expand Brock Mission’s 24/7 capacity.",Keith Riel,Carried,10,0,0,1,homelessness,homelessness|finance_budget|social,known,285600,adds_program_funding,2026_operating_precommitment,2026 operating budget,minutes-2025-homelessness-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=40278,verified_official_minutes,financial_impact,Committee-stage vote. Subsequent Council consideration can be shown separately where the final disposition differs.
2025-06-trinity-daytime-244800,2025-06-23,"June 23, 2025",General Committee,Committee recommendation,"Trinity daytime hours: $244,800",Funding to expand Trinity daytime operating hours failed on a 5–5 tie.,Keith Riel,Lost,5,5,0,1,homelessness,homelessness|finance_budget|social,known,244800,adds_program_funding,2026_operating_precommitment,2026 operating budget,minutes-2025-homelessness-general,https://pub-peterborough.escribemeetings.com/filestream.ashx?DocumentId=40278,verified_official_minutes,financial_impact|split_vote,Committee-stage vote. Subsequent Council consideration can be shown separately where the final disposition differs.
2024-11-trinity-overnight-264000,2024-11-18,"Nov. 18–19, 2024",General Committee,Committee recommendation,"Trinity overnight program: $264,000","Council supported $264,000 from the Social Services Reserve to extend the overnight drop-in program through summer 2025.",Keith Riel,Carried,8,3,0,0,homelessness,homelessness|finance_budget|social,known,264000,adds_program_funding,one_time_2025,Social Services Reserve,minutes-2024-budget-general,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=38914,verified_official_minutes,split_vote|financial_impact|reserve_use,
2024-11-hsf-360000,2024-11-18,"Nov. 18–19, 2024",General Committee,Committee recommendation,"Housing Stability Fund: +$360,000","Council unanimously supported a $360,000 increase to the Housing Stability Fund from the Social Services Reserve.",Keith Riel,Carried,11,0,0,0,homelessness,homelessness|social|finance_budget,known,360000,adds_program_funding,one_time_2025,Social Services Reserve,minutes-2024-budget-general,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=38914,verified_official_minutes,financial_impact|reserve_use,
2024-11-brock-worker-280000,2024-11-18,"Nov. 18–19, 2024",General Committee,Committee recommendation,"Brock Mission additional worker: $280,000","Council unanimously supported $280,000 from the Social Services Reserve to maintain Brock Mission capacity at 40 beds.",Keith Riel,Carried,11,0,0,0,homelessness,homelessness|social|finance_budget,known,280000,adds_program_funding,one_time_2025,Social Services Reserve,minutes-2024-budget-general,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=38914,verified_official_minutes,financial_impact|reserve_use,
2024-11-trinity-daytime-240000,2024-11-18,"Nov. 18–19, 2024",General Committee,Committee recommendation,"Trinity daytime drop-in hours: $240,000","Council supported $240,000 from the Social Services Reserve to extend daytime drop-in operating hours in 2025.",Jeff Leal,Carried,8,3,0,0,homelessness,homelessness|finance_budget|social,known,240000,adds_program_funding,one_time_2025,Social Services Reserve,minutes-2024-budget-general,https://pub-peterborough.escribemeetings.com/FileStream.ashx?DocumentId=38914,verified_official_minutes,split_vote|financial_impact|reserve_use,
